# DECISIONS: include | maybe | exclude,,,,,,
# EXCLUSION REASONS: population (not consciousness-relevant) ; exposure (no quantitative complexity measure) ; data (no neural recording) ; publication-type (editorial/protocol/non-study) ; not-retrievable ; other,,,,,,
# Screen BLIND to Elicit. Fill my_decision for every row; add my_primary_exclusion_reason only when excluding.,,,,,,
pmid,title,journal,year,abstract,my_decision,my_primary_exclusion_reason
39049937,Prolonged Disease Course Leads to Impaired Brain Function in Anxiety Disorder: A Resting State EEG Study.,Neuropsychiatric disease and treatment,2024,"OBJECTIVE: Anxiety disorder (AD) is a common disabling disease. The prolonged disease course may lead to impaired cognitive performance, brain function, and a bad prognosis. Few studies have examined the effect of disease course on brain function by electroencephalogram (EEG). METHODS: Resting-state EEG analysis was performed in 34 AD patients. The 34 patients with AD were divided into two groups according to the duration of their illness: anxious state (AS) and generalized anxiety disorder (GAD). Then, EEG features, including univariate power spectral density (PSD), fuzzy entropy (FE), and multivariable functional connectivity (FC), were extracted and compared between AS and GAD. These features were evaluated by three previously validated machine learning methods to test the accuracy of classification in AS and GAD. RESULTS: Significant decreased PSD and FE in GAD were detected compared with AS, especially in the Alpha 2 band. In addition, FC analysis indicated that GAD patients' connection between the left and right hemispheres decreased. Based on machine learning, AS and GAD are classified on a six-month criterion with the highest classification accuracy of up to 0.99 ± 0.0015. CONCLUSION: The brain function of patients is more severely impaired in AD patients with longer illness duration. Resting-state EEG demonstrated to be a promising examination in the classification in GAD and AS using machine learning methods with better classification accuracy.",maybe,
39075138,Analyzing brain-activation responses to auditory stimuli improves the diagnosis of a disorder of consciousness by non-linear dynamic analysis of the EEG.,Scientific reports,2024,"Although auditory stimuli benefit patients with disorders of consciousness (DOC), the optimal stimulus remains unclear. We explored the most effective electroencephalography (EEG)-tracking method for eliciting brain responses to auditory stimuli and assessed its potential as a neural marker to improve DOC diagnosis. We collected 58 EEG recordings from patients with DOC to evaluate the classification model's performance and optimal auditory stimulus. Using non-linear dynamic analysis (approximate entropy [ApEn]), we assessed EEG responses to various auditory stimuli (resting state, preferred music, subject's own name [SON], and familiar music) in 40 patients. The diagnostic performance of the optimal stimulus-induced EEG classification for vegetative state (VS)/unresponsive wakefulness syndrome (UWS) and minimally conscious state (MCS) was compared with the Coma Recovery Scale-Revision in 18 patients using the machine learning cascade forward backpropagation neural network model. Regardless of patient status, preferred music significantly activated the cerebral cortex. Patients in MCS showed increased activity in the prefrontal pole and central, occipital, and temporal cortices, whereas those in VS/UWS showed activity in the prefrontal and anterior temporal lobes. Patients in VS/UWS exhibited the lowest preferred music-induced ApEn differences in the central, middle, and posterior temporal lobes compared with those in MCS. The resting state ApEn value of the prefrontal pole (0.77) distinguished VS/UWS from MCS with 61.11% accuracy. The cascade forward backpropagation neural network tested for ApEn values in the resting state and preferred music-induced ApEn differences achieved an average of 83.33% accuracy in distinguishing VS/UWS from MCS (based on K-fold cross-validation). EEG non-linear analysis quantifies cortical responses in patients with DOC, with preferred music inducing more intense EEG responses than SON and familiar music. Machine learning algorithms combined with auditory stimuli showed strong potential for improving DOC diagnosis. Future studies should explore the optimal multimodal sensory stimuli tailored for individual patients.Trial registration: The study is registered in the Chinese Registry of Clinical Trials (Approval no: KYLL-2023-414, Registration code: ChiCTR2300079310).",include,
39326323,Preoperative [18F]fluoro-PEG-folate PET/CT in advanced stage epithelial ovarian cancer: A safety and feasibility study.,Nuclear medicine and biology,2024,"PURPOSE: The selection for either primary or interval cytoreductive surgery (CRS) in patients with epithelial ovarian cancer (EOC) is currently based on imaging techniques like computed tomography (CT), [18F]fluorodeoxyglucose-positron emission tomography ([18F]FDG-PET), diffusion-weighted magnetic resonance imaging (DW-MRI) and/or diagnostic laparoscopy, but these have limitations. Folate receptor (FR)-targeted PET/CT imaging, using [18F]fluoro-PEG-folate, could improve preoperative assessment, potentially reducing unnecessary laparotomies. This paper presents the first experience with [18F]fluoro-PEG-folate PET/CT imaging in advanced stage EOC, focusing on safety, tolerability, and feasibility for reflecting the extent of disease. METHODS: Tolerability and safety were monitored after administration of the [18F]fluoro-PEG-folate tracer by measurements of vital function parameters (blood pressure, heart rate, peripheral oxygen saturation, respiratory rate, and temperature). In addition, (serious) adverse events were recorded. Disease burden was quantified using the Peritoneal Cancer Index (PCI) score on preoperative [18F]fluoro-PEG-folate PET/CT and during surgery. PCI scores were compared with intraoperative findings, considering histopathologic results as the gold standard. Tissue specimens were stained for FRα and FRβ. Relative uptake of the radiotracer by EOC lesions and other tissues was quantified using body weighted standardized uptake values (SUV). RESULTS: The study was terminated prematurely during the interim analysis after inclusion of eight patients of whom five had completed the study protocol. Although [18F]fluoro-PEG-folate demonstrated safety, efficacy for tumor-specific imaging was limited. Despite clear FRα overexpression, low tracer uptake was observed in EOC lesions, contrasting with high uptake in healthy tissues, posing challenges in specificity and accurately assessing tumor burden. CONCLUSIONS: Overall, while [18F]fluoro-PEG-folate was well-tolerated, its clinical utility in the preoperative assessment of the extent of disease in EOC was limited. This highlights the need for further research in developing targeted imaging agents for optimal detection of EOC metastases. TRIAL REGISTRATION: Clinicaltrials.gov, NCT05215496. Registered 31 January 2022.",exclude,"No consciousness relevance, no complexity measures and no neural data"
39390109,EEG synchronization patterns during a Go/No-Go task in individuals with aphasia in subacute and chronic phases of stroke.,Scientific reports,2024,"Stroke and subsequent neuroregenerative processes cause changes in neural organization of attentional functions. In this study, we attempted to identify differences in neural synchronization patterns during a visual Go/No-Go task in people with post-stroke aphasia in both subacute and chronic stroke phases. To identify neuronal underpinnings of the behavioral differences we investigated pairwise connectivity patterns using corrected imaginary phase locking value and graph-theoretic measures (efficiency, modularity and clustering coefficient) at global and local level in subacute (n = 13) and chronic stroke phases (n = 14) during a Go/No-Go task. We observed significantly lower phase synchronization in the Subacute Group in the alpha band in the connections spanning frontal and central areas of both hemispheres alongside lower local efficiency and clustering coefficient in the left frontal region. Additionally, we observed higher modularity in the beta band in the unaffected right parietal region in the Subacute Group which may denote inhibition of motor and attention functions. Those mechanisms could serve to align cognitive abilities between the damaged and healthy hemispheres, harmonizing the activity of the neuronal networks of both hemispheres disrupted by the effects of the stroke. Our findings have potential implications for rehabilitation therapies, which should take into account the pattern of connectivity changes during different phases of reovery.",maybe,
39465779,An unusual case of recurrent traumatic spinal epidural hematoma accompanied by osteoporotic vertebral compression fractures: Case report.,Medicine,2024,"RATIONALE: Traumatic spinal epidural hematoma (SEH) is a rare clinical condition. Here, we present an extraordinary case of recurrent SEH accompanied by thoracolumbar spine fractures resulting from minor trauma, and provide evidence-based recommendations for the surgical management strategies in this unique scenario. PATIENT CONCERNS: A 71-year-old female patient presented with back pain after a fall. Magnetic resonance imaging revealed an SEH with L2 vertebral compression fracture. Following unsuccessful conservative treatment, percutaneous vertebroplasty was performed at the 2nd lumbar vertebra under local anesthesia. Two years later, the patient experienced another fall and was diagnosed with spinal hematoma with L1 vertebral compression fractures. DIAGNOSES: The patient was diagnosed with recurrent osteoporotic vertebral compression fracture accompanying SEH. OUTCOMES: After 1 week of conservative treatment, notable improvement of limbs numbness was observed. The patient ultimately underwent L1 vertebroplasty surgery. The patient was discharged smoothly on the third postoperative day and made a full recovery after 4 months. LESSONS: SEH is a rare clinical finding that can occur even after a minor trauma in the elderly. It is worth noting that osteoporotic vertebral compression fractures with asymptomatic or stable intraspinal hematoma, is not considered to be a contraindication for percutaneous vertebroplasty. And percutaneous vertebroplasty is a safe and effective treatment for osteoporotic compression fractures with asymptomatic SEH.",exclude,"No consciousness relevance, no complexity measures and no neural data"
39714568,EEG brain networks modulation during sleep onset: the effects of aging.,GeroScience,2025,"The aim of the present study is to investigate differences in brain networks modulation during the pre- and post-sleep onset period, both within and between two groups of young and older individuals. Thirty-six healthy elderly and 40 young subjects participated. EEG signals were recorded during pre- and post-sleep onset periods and functional connectivity analysis, specifically focusing on the small world (SW) index, applied to EEG data (i.e., frequency bands) was examined. Significant differences in SW values were found between the pre-sleep and post-sleep onset phases in both young and older groups, with a reduction in the SW index in the theta band common to both groups. Additionally, an increase in the SW index in the beta band was exclusive to the elderly group during the post-sleep onset period, while an increase in the sigma band was exclusive to the young group. Furthermore, differences between the young and elderly groups were found during both phases, including a decrease in the SW index within the delta band, an increment in the sigma and beta bands in the elderly compared to the young group during the pre-sleep onset period, and a notable absence of sigma band modulation in the elderly group during the post-sleep onset condition. These findings provide insights into age-related changes in sleep-related brain network dynamics and their potential impact on sleep quality and cognitive functions, prompting interventions aimed at supporting healthy aging and addressing age-related cognitive decline.",include,
39726756,The impact of sleep disorders on brain network connectivity in postpartum women: a functional near-infrared spectroscopy-based study.,Frontiers in neurology,2024,"Sleep disorder is an important risk factor for postpartum depression. Although previous research has explored brain activity in postpartum depression, it has not fully revealed how insomnia affect mood by altering interactions between brain regions. This study aim to investigate the relationship between insomnia and depressive status in postpartum women, utilizing functional near-infrared spectroscopy (fNIRS) to explore brain network topological properties. Among 143 postpartum women, 40 were diagnosed with insomnia and 103 without. The results indicated that the Edinburgh Postnatal Depression Scale (EPDS) scores were significantly higher in the insomnia group compared to the control group. Compared with the control group, the insomnia group showed significantly increased connection strength of triangularis Broca's between middle and superior temporal gyrus and left between right dorsolateral prefrontal cortex (p < 0.001). Brain network topological analysis revealed that the small-world properties, clustering coefficient (p = 0.009), and local efficiency (p = 0.009) were significantly lower in the insomnia group compared to the control group. Notably, the local efficiency and clustering coefficient of the left temporal pole were significantly reduced and negatively correlated with EPDS scores. These findings elucidate how insomnia may exacerbate postpartum depression through changes in brain network properties. While the observed alterations in connectivity suggest a correlation, causation cannot be definitively established. Improving sleep quality remains a promising intervention, but further research is needed to clarify causal links and therapeutic targets.",maybe,
39778774,An EEG-based emotion recognition method by fusing multi-frequency-spatial features under multi-frequency bands.,Journal of neuroscience methods,2025,"BACKGROUND: Recognition of emotion changes is of great significance to a person's physical and mental health. At present, EEG-based emotion recognition methods are mainly focused on time or frequency domains, but rarely on spatial information. Therefore, the goal of this study is to improve the performance of emotion recognition by integrating frequency and spatial domain information under multi-frequency bands. NEW METHODS: Firstly, EEG signals of four frequency bands are extracted, and then three frequency-spatial features of differential entropy (DE) symmetric difference (SD) and symmetric quotient (SQ) are separately calculated. Secondly, according to the distribution of EEG electrodes, a series of brain maps are constructed by three frequency-spatial features for each frequency band. Thirdly, a Multi-Parallel-Input Convolutional Neural Network (MPICNN) uses the constructed brain maps to train and obtain the emotion recognition model. Finally, the subject-dependent experiments are conducted on DEAP and SEED-IV datasets. RESULTS: The experimental results of DEAP dataset show that the average accuracy of four-class emotion recognition, namely, high-valence high-arousal, high-valence low-arousal, low-valence high-arousal and low-valence low-arousal, reaches 98.71 %. The results of SEED-IV dataset show the average accuracy of four-class emotion recognition, namely, happy, sad, neutral and fear reaches 92.55 %. COMPARISON WITH EXISTING METHODS: This method has a best classification performance compared with the state-of-the-art methods on both four-class emotion recognition datasets. CONCLUSIONS: This EEG-based emotion recognition method fused multi-frequency-spatial features under multi-frequency bands, and effectively improved the recognition performance compared with the existing methods.",maybe,
39799823,Modulation mode of amygdala morphology and cognitive function under acute sleep deprivation in healthy male.,Sleep medicine,2025,"The amygdala plays a crucial role in various behavioral functions and psychiatric conditions, with its morphology showing alterations in sleep disorders. While the impact of chronic sleep disorders on amygdala morphology has been studied, the effects of acute sleep deprivation (ASD) remain largely unexplored. The present study aimed to investigate the modulation between amygdala sub-region volumes and spatial working memory (SWM) performance under ASD conditions. Twenty-eight healthy male participants underwent MRI scanning and performed SWM tasks before and after 24 h of ASD. Amygdala sub-region volumes were segmented into nine sub-regions, and Granger causality analysis was employed to examine the relationship between amygdala morphology and SWM performance. Results revealed significant decreases in SWM accuracy and increases in reaction time following ASD. Localized changes in amygdala sub-regions were observed, with increased left cortico-amygdaloid transition area (CAT) volume and decreased right paralaminar nucleus (PL) volume. Granger causality analysis uncovered a bidirectional modulation between centromedial and cortical-like nuclei, and a progressive involvement of amygdala sub-regions in modulating SWM performance as task difficulty increased. These findings demonstrate a complex interplay between sleep, amygdala morphology, and cognitive function, suggesting that the amygdala plays a crucial role in modulating cognitive performance under ASD conditions. The differential involvement of amygdala sub-regions across varying cognitive loads indicates a flexible and adaptive system attempting to maintain performance in the face of sleep loss.",maybe,
39881126,From relaxed beliefs under psychedelics (REBUS) to revised beliefs after psychedelics (REBAS).,Scientific reports,2025,"The Relaxed Beliefs Under pSychedelics (REBUS) model proposes that serotonergic psychedelics decrease the precision weighting of neurobiologically-encoded beliefs. We conducted a preliminary examination of two psychological assumptions of REBUS: (a) psychedelics foster acute relaxation and post-acute revision of confidence in mental-health-relevant beliefs; which (b) facilitate positive therapeutic outcomes and are associated with the entropy of EEG signals. Healthy individuals (N = 11) were administered 1 mg and 25 mg psilocybin 4-weeks apart. Confidence ratings for personally held beliefs were obtained before, during, and 4-weeks post-psilocybin. Acute entropy and subjective experiences were measured, as was well-being (before and 4-weeks post-psilocybin). Confidence in negative self-beliefs decreased following 25 mg psilocybin. Entropy and subjective effects under 25 mg psilocybin correlated with decreases in negative self-belief confidence (acutely and at 4-weeks). Particularly strong evidence was seen for a relationship between decreases in negative self-belief confidence and increases in well-being. We report the first empirical evidence that the relaxation and revision of negative self-belief confidence mediates psilocybin's positive psychological outcomes, and provide tentative evidence for a neuronal mechanism, namely, increased neuronal entropy. Replication within larger and clinical samples is necessary. We also introduce a new measure for examining the robustness of these preliminary findings and the utility of the REBUS model.",include,
39952989,Individual differences in wellbeing are supported by separable sets of co-active self- and visual-attention-related brain networks.,Scientific reports,2025,"How does the brain support 'wellbeing'? Because it is a multidimensional construct, it is likely the product of multiple co-active brain networks that vary across individuals. This is perhaps why prior neuroimaging studies have found inconsistent anatomical associations with wellbeing. Furthermore, these used 'laboratory-style' or 'resting-state' methods not amenable to finding manifold networks. To address these issues, we had participants watch a full-length romantic comedy-drama film during functional magnetic resonance imaging. We hypothesised that individual differences in wellbeing measured before scanning would be correlated with individual differences in brain networks associated with 'embodied' and 'narrative' self-related processing. Indeed, searchlight spatial inter-participant representational similarity and subsequent analyses revealed seven sets of co-activated networks associated with individual differences in wellbeing. Two were 'embodied self' related, including brain regions associated with autonomic and affective processing. Three sets were 'narrative self' related, involving speech, language, and autobiographical memory-related regions. Finally, two sets of visual-attention-related networks emerged. These results suggest that the neurobiology of wellbeing in the real world is supported by diverse but functionally definable and separable sets of networks. This has implications for psychotherapy where individualised interventions might target, e.g., neuroplasticity in language-related narrative over embodied self or visual-attentional related processes.",maybe,
40048826,Detection of freely moving thoughts using SVM and EEG signals.,Journal of neural engineering,2025,"Objective.Freely moving thought is a type of thinking that shifts from one topic to another without any overarching direction or aim. The ability to detect when freely moving thought occurs may help us promote its beneficial outcomes, such as for creative thinking and positive mood. Thus far, no studies have used machine learning to detect freely moving thought on the basis of 'objective' (e.g. neural or behavioral) data.Approach.Our study addresses this gap, using event-related potential (ERP) and spectral features of electroencephalogram (EEG) signals as well as behavioral measures during a simple attention task and machine learning to detect freely moving thought. EEG features were first examined with both inter-subject and intra-subject strategies. Specifically, the statistical and entropy features of the P3 ERP and alpha spectral measures were entered as inputs to the support vector machine. The best combination of EEG features achieving higher classification performance in both strategies were then selected to combine with behavioral features to further enhance classification performance.Main results.Our best performing model has a Matthew's correlation coefficient and area under the curve of 0.3105 and 0.6665 for inter-subject models and 0.2815 and 0.6407 for intra-subject models respectively.Significance.The above chance level performance in both strategies using EEG and behavioral features shows great promise for machine learning approaches to detect freely moving thought and highlights their potential for real-time prediction in the real world. This has important implications for enhancing creative processes and mood associated with freely moving thought.",include,
40056784,Predictive value of resting-state fMRI graph measures in hypoxic encephalopathy after cardiac arrest.,NeuroImage. Clinical,2025,"INTRODUCTION: Current multimodal prediction models can determine the prognosis of about half of comatose cardiac arrest patients. We investigated whether whole-brain graph-theoretical measures from early resting-state functional magnetic resonance imaging (fMRI) three days after cardiac arrest discriminate between good and poor outcome and improve outcome prediction. METHODS: We conducted a prospective cohort study on comatose cardiac arrest patients on intensive care units. Resting-state fMRI three days after cardiac arrest was used to quantify whole-brain functional connectivity, global efficiency, clustering coefficient, and modularity. Neurological outcome at six months was classified as good or poor (Cerebral Performance Category 1-2 vs 3-5). Logistic regression models were used to examine between-group differences and study the additional value of graph-theoretical measures to clinical and EEG-based prediction. RESULTS: In seventy included patients (good outcome n = 44, poor n = 26), whole-brain functional connectivity and clustering coefficient (but not global efficiency and modularity) were significantly lower in patients with poor outcome. Connectivity of nodes in posterior brain areas most prominently correlated with outcome. Clustering coefficient showed strong correlation with whole-brain functional connectivity. Patients with continuous EEG patterns differed in whole-brain functional connectivity levels from those with suppressed or epileptiform patterns. Combining functional connectivity or graph measures with clinical and EEG-based predictors slightly improved outcome prediction. CONCLUSION: fMRI-based whole-brain functional connectivity is a sensitive measure for encephalopathy severity after cardiac arrest, according to relations with established EEG categories and discrimination between good and poor outcome. Additional predictive values for outcome seem small. Graph measures do not provide complementary information.",include,
40223247,Toward an Automatic Classification of the Different Stages of Sleep: Exploring Patterns of Neural Activity in the Subthalamic Nucleus.,The European journal of neuroscience,2025,"Sleep disorders substantially impact quality of life, especially in patients with neurodegenerative diseases like Parkinson's disease. Recent advances in deep brain stimulation highlight the potential of closed-loop adaptive stimulation that utilizes neural feedback signals recorded directly from the stimulation electrodes. The subthalamic nucleus, a distinct structure located deep in the brain, plays a major role in processing cortical information and could be used to classify sleep stages. We recorded local field potentials in the subthalamic nucleus of two freely moving nonhuman primates across three nights. Our study examined subthalamic neuronal activity across different vigilance stages using spectral activity, multiscale entropy analysis, and an automatic classification. Results revealed distinct spectral patterns in subthalamic activity corresponding to sleep stages, with a high synchronization between subthalamic nucleus and EEG signals during deeper sleep stages. These deeper stages were associated also with reduced entropy, suggesting decreased neural activity complexity. An automated machine learning classifier based on subthalamic nucleus spectral activity distinguished wakefulness from sleep with high accuracy (94% for both animals). While the classifier performed well for deeper sleep stages, its accuracy was lower for lighter sleep stages. Our findings suggest that subthalamic nucleus activity can mirror cortical dynamics during sleep, supporting its potential use in developing closed-loop stimulation therapies for sleep disorders. This work provides a foundation for further studies in Parkinson's disease models to evaluate the translational relevance of subthalamic nucleus activity in clinical applications.",include,
40272770,Topological Reorganization and Resting-State Functional Connectivity in Functional Dyspepsia: Associations of Symptoms with Peripheral Cytokine Levels and Amygdala Nodal Centrality.,Molecular neurobiology,2025,"Functional dyspepsia (FD) is a symptom-based disorder of gut-brain interactions, causing epigastric pain or discomfort, with immune activation presumed to play a key role. Peripheral cytokines contribute to hyperalgesia and are thought to be related to the severity of FD symptoms, while brain functional networks are also involved in these symptoms, although the mechanisms underlying these relationships remain unclear. This study aims to investigate the topological reorganization of brain functional networks in FD and their associations with peripheral cytokines, FD symptoms, anxiety, and depression. Resting-state functional magnetic resonance imaging was conducted on 40 FD patients and 40 healthy controls, assessing topological changes using small-world properties, network efficiency, nodal centrality, and whole-brain functional connectivity. FD patients had higher anxiety and depression scores than healthy controls, along with greater global efficiency, local efficiency, and clustering coefficient. They also had higher nodal centralities in the salience network (SN) and prefrontal cortex, but lower nodal centralities in the default mode network (DMN). Specifically, the nodal local efficiency of the right amygdala correlated with clinical symptom scores in FD. Whole-brain functional disconnection was found in the DMN, SN and sensorimotor network (SMN). FD patients also exhibited higher peripheral cytokines, particularly tumor necrosis factor-α (TNF-α) and interleukin-10 (IL-10), which were positively correlated with gastrointestinal symptoms. In conclusion, FD patients showed significant topological reorganization in the DMN, SN, and SMN. Furthermore, the right amygdala's nodal local efficiency was correlated with clinical symptom severity, and elevated TNF-α and IL-10 levels were associated with gastrointestinal symptom severity in FD.",maybe,
40638995,Abnormal brain functional network dynamics in narcolepsy type 1 patients.,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,2025,"OBJECTIVES: To investigate the dynamic functional connectivity in narcolepsy type 1 (NT1) patients and whether clinical features are associated with abnormal connectivity. METHODS: We investigated dynamic functional connectivity (dFC) of 80 drug-naïve NT1 patients, 30 idiopathic hypersomnia (IH) patients and 60 age- and sex-matched healthy controls using sliding-window approach, clustering state analysis and graph-theory methods. Relationships between clinical features and abnormal dFC properties were evaluated. RESULTS: Three dFC brain states were identified to characterize and compare dynamic functional connectivity patterns: a more frequent and sparsely connected State I (46.96%), a less frequent and more strongly connected State Ⅱ (26.3%), and a less frequent and sparsely connected State Ⅲ (26.74%). In NT1 patients, the occurrence of the State Ⅱ increased, corresponding with a prolonged dwell time of State Ⅱ. While State Ⅲ are predominant for IH patients and healthy controls. The occurrence and dwell time of State Ⅲ are negatively correlated with sleep latency in NT1 patients. Additionally, there was a higher variability in the small-world network parameters, suggesting an abnormal global integration of the brain network in both IH and NT1 patients. CONCLUSIONS: The abnormal temporal patterns and functional segregation coupled with the severity of sleepiness and abnormal local integration in topological properties confirmed the vulnerability of functional networks in NT1 patients.",include,
40697569,Safety and efficacy of percutaneous radiofrequency thermocoagulation with varying puncture trajectories for recurrent maxillary trigeminal neuralgia: a prospective study.,Frontiers in neurology,2025,"BACKGROUND: Recurrence of maxillary trigeminal neuralgia (TN) poses a significant clinical challenge. Percutaneous radiofrequency thermocoagulation (PRT) has been established as an effective treatment for maxillary TN. However, the safety and efficacy of different puncture pathways, particularly in the context of pain recurrence, may vary. OBJECTIVE: This study aimed to compare the safety and efficacy of PRT via the foramen ovale (FO) and pterygopalatine fossa (PF) approaches for recurrent maxillary TN. METHODS: This prospective, non-randomized controlled study included 46 patients with recurrent maxillary TN who underwent PRT at our hospital between January 2021 and June 2021. Patients were divided into two groups based on the puncture pathway: the FO group and the PF group. All procedures were performed under local anesthesia and guided by computed tomography (CT). Operative complications were monitored, and pain was assessed using the Visual Analog Scale (VAS) and the Barrow Neurological Institute (BNI) scale. Follow-up evaluations were conducted at 6, 12, 18, and 24 months postoperatively. RESULTS: The efficacy rates of the two puncture pathways within 24 months were 69.5% (FO group) and 78.2% (PF group), respectively. All patients experienced hypoesthesia in the maxillary nerve area. No severe complications, such as blindness, intracranial hemorrhage, or intracranial infection, were observed in either group. CONCLUSION: Both the FO and PF puncture pathways for PRT are safe and effective for treating recurrent maxillary TN. However, for patients with a history of prior PRT or percutaneous balloon compression (PBC) targeting the Gasserian ganglion, the PF approach may be preferable.",exclude,"No consciousness relevance, no complexity measures and no neural data"
40739621,Prediction of postoperative visual cognitive impairment using graph theory and machine learning based on resting-state brain networks.,BMC medical imaging,2025,"BACKGROUND: Visual cognitive impairment is among the most common postoperative cognitive dysfunctions, significantly impacting recovery and quality of life in elderly patients. However, effective preoperative prediction methods remain lacking. We developed a machine learning model using graph theory analysis of resting-state functional connectivity networks to predict postoperative visual cognitive impairment. METHODS: In this nested case-control study, 74 elderly patients underwent preoperative rs-fMRI. Postoperative impairment was assessed using Trail Making Test Part A (TMT-A) and Digit Symbol Substitution Test (DSST). We constructed dynamic functional connectivity networks, extracting local (degree, path length, clustering coefficient, efficiency) and global features (modularity, entropy). Sparse representation-based feature selection and classification were applied to build the predictive model. RESULTS: 16 patients (21.6%) developed postoperative impairment. Analysis revealed 16 significant features (P < 0.05) differentiating groups, with key hubs in a visual-cognition network: Inferior occipital gyrus (ventral visual stream), Medial superior frontal gyrus (default mode/executive control), Cuneus (dorsal attention network), The model achieved an AUC = 0.877, accuracy = 0.840, sensitivity = 0.833, and specificity = 0.842 on independent testing. CONCLUSION: Our graph theory-machine learning framework reliably predicts postoperative visual cognitive impairment by identifying disruptions in a clinically interpretable visual-cognition network. This approach offers potential guidance for perioperative decision-making. TRIAL REGISTRATION: Chinese Clinical Trial Registry (ChiCTR-DCD-15006096, 16th/March/2015, https://www.chictr.org.cn/showproj.html?proj=10583 ).",maybe,
40810087,Breast Cancer With Airway Edema Caused by Metastatic Fracture of the Cervical Vertebra.,World journal of oncology,2025,"Bone is a common site of breast cancer metastasis, with the spine showing a particularly high affinity. An 83-year-old Japanese woman with Alzheimer's disease presented with a palpable mass in her left breast. A needle biopsy revealed invasive ductal carcinoma of the breast, hormone receptor-positive, human epidermal growth factor receptor 2 (HER2)-negative, with lymph node metastasis. Chest dynamic computed tomography showed no distant metastases. She was diagnosed with luminal-type, stage IIB (T2N1M0) breast cancer and underwent surgery. During induction of general anesthesia, intubation was difficult due to airway edema, necessitating bronchoscopy. The day after surgery, she reported neck pain, and radiography revealed a compression fracture of the third cervical vertebra. Magnetic resonance imaging confirmed a metastatic lesion in the third cervical vertebra. Postoperatively, she received endocrine therapy with letrozole, radiation therapy with zoledronic acid, and a cervical collar for cervical metastases. Seven months later, the osteolytic lesion calcified, and her pain improved. This case is unique because solitary cervical vertebral metastases from breast cancer, leading to compression fractures and airway edema, are rare. The case highlights the importance of considering cervical metastases in patients with breast cancer who develop airway difficulties or unexplained neck pain, particularly in the perioperative setting. Early recognition and intervention are crucial for preventing complications and optimizing patient outcomes.",exclude,"No consciousness relevance, no complexity measures and no neural data"
40864159,Current challenges in intrauterine management of obstructive fetal hydrocephalus and future directions.,Ultrasound in obstetrics & gynecology : the official journal of the International Society of Ultrasound in Obstetrics and Gynecology,2025,"Aqueductal stenosis is a specific type of non- communicating hydrocephalus, which is characterized by narrowing or constriction of the cerebral aqueduct, also known as the aqueduct of Sylvius. Due to the blockage, the flow of cerebrospinal fluid (CSF) through the aqueduct becomes restricted or obstructed, leading to an abnormal accumulation of CSF within the ventricles and increased intracranial pressure. Progressive expansion of the ventricles leads to increasing cerebral mantle compression during fetal brain development, which can lead to irreversible damage with deleterious consequences. Early intervention could be crucial to mitigate the risk of subsequent cerebral injury. However, diagnostic challenges, unclear efficacy and frequent complications have hindered the integration of treatment for prenatal hydrocephalus into standard practice. Factors including improper patient selection, inadequate CSF diversion or fetal access techniques and suboptimal timing of intervention have been shown to impede success. To address these limitations and advance patient care, an evidence-based update of prenatal hydrocephalus interventions is warranted. This review aims to comprehensively explore the approaches to prenatal treatment of hydrocephalus from both a neurosurgical and fetal surgical perspective, integrating the latest advancements in prenatal diagnosis and fetal intervention. © 2025 International Society of Ultrasound in Obstetrics and Gynecology.",exclude,"No consciousness relevance, no complexity measures and no neural data"
40985263,Lateralization of Hippocampal Dentate Spikes and Sharp-Wave Ripples in Urethane Anesthetized Rats Depends on Cholinergic Tone.,Hippocampus,2025,"Neural activity and bodily functions are inherently rhythmic and related to each other. The occurrence of hippocampal sharp-wave ripples (SPW-Rs) and dentate spikes (DSs) supporting memory consolidation is regulated by the overall state of the brain, and they also seem to aggregate to a certain phase of the breathing cycle in naturally sleeping mice. Further, SPW-Rs and DSs synchronize to a variable degree between hemispheres, but how this is affected by the neural and bodily state is unclear. Here, we recorded dorsal hippocampal local-field potentials, electrocardiogram, and respiration for several hours under urethane anesthesia in adult male Sprague-Dawley rats. For a subset of rats, we injected atropine (50 mg/kg, i.p.) halfway into the recording to decrease cholinergic and parasympathetic tone. We found variable relation of hippocampal oscillations to breathing phase and none to the cardiac cycle phase. A decrease in breathing rate implying increased parasympathetic tone preceded the start of SPW-R bouts. Roughly 90% of DSs and half of SPW-Rs were unilateral. In most rats, SPW-Rs were more often bilateral during slow breathing compared to faster breathing. Atropine reduced the proportion of bilateral SPW-Rs. Both nonrapid eye movement sleep-like state and atropine increased the proportion of bilateral DSs under urethane anesthesia. Finally, in naturally sleeping rats, both DSs and SPW-Rs were bilateral ~60% of the time. In sum, urethane seems to desynchronize DSs but not SPW-Rs, and a low cholinergic and/or parasympathetic tone seems to dissociate SPW-Rs and to synchronize DSs in the two hippocampi. Whether these findings have relevance in terms of memory consolidation and behavior should be investigated in the future.",include,
